"BKAMA"	"Mindestalteranfrage mit Autorisierung"
"HKBDD"	"SEPA-Firmensammellastschrift"
"HKBDS"	"SEPA-Firmeneinzellastschrift"
"HKBMB"	"Bestand terminierter SEPA-Firmensammellastschriften anfordern"
"HKBME"	"Terminierte SEPA-Firmensammellastschrift einreichen"
"HKBML"	"Terminierte SEPA-Firmensammellastschrift löschen"
"HKBSA"	"Terminierte SEPA-Firmeneinzellastschrift ﾊndern"
"HKBSE"	"Terminierte SEPA-Firmeneinzellastschrift einreichen"
"HKBSL"	"Terminierte SEPA-Firmeneinzellastschrift löschen"
"HKCAN"	"Kontoumsätze anfordern/neue Umsätze camt"
"HKCAZ"	"Kontoumsätze anfordern/Zeitraum camt"
"HKCCM"	"SEPA-Sammelüberweisung"
"HKCCS"	"SEPA Einzelüberweisung"
"HKCDA"	"SEPA-Dauerauftragsänderungsvormerkungen anfordern"
"HKCDB"	"SEPA-Dauerauftragsbestand anfordern"
"HKCDD"	"SEPA-Sammellastschrift"
"HKCDE"	"SEPA-Dauerauftrag einrichten"
"HKCDL"	"SEPA-Dauerauftrag löschen"
"HKCDN"	"SEPA-Dauerauftrag ändern"
"HKCDS"	"SEPA-Einzellastschrift"
"HKCDU"	"SEPA-Dauerauftrag aussetzen"
"HKCMB"	"Bestand terminierter SEPA-Sammelüberweisungen anfordern"
"HKCME"	"Terminierte SEPA-Sammelüberweisung einreichen"
"HKCML"	"Terminierte SEPA-Sammelüberweisung löschen"
"HKCSA"	"Terminierte SEPA-Überweisung ändern"
"HKCSB"	"Bestand terminierter SEPA-Überweisungen anfordern"
"HKCSE"	"Terminierte SEPA-Überweisung einreichen"
"HKCSL"	"Terminierte SEPA-Überweisung löschen"
"HKCVA"	"Vorbereitete SEPA-Überweisung ändern"
"HKCVB"	"Bestand vorbereiteter SEPA-Überweisungen abfragen"
"HKCVE"	"Vorbereitete SEPA-Überweisung anlegen"
"HKCVL"	"Vorbereitete SEPA-Überweisung löschen"
"HKDAA"	"Dauerauftragsänderungsvormerkungen anfordern"
"HKDAB"	"Dauerauftragsbestand anfordern"
"HKDAE"	"Dauerauftrag einrichten"
"HKDAL"	"Dauerauftrag löschen"
"HKDAN"	"Dauerauftrag ändern"
"HKDAS"	"Dauerauftrag aussetzen"
"HKDBS"	"Bestand terminierter SEPA-Einzellastschriften anfordern"
"HKDEA"	"Dauereinzellastschrift ändern"
"HKDEB"	"Dauereinzellastschriftbestand anfordern"
"HKDEE"	"Dauereinzellastschrift einrichten"
"HKDEL"	"Dauereinzellastschrift löschen"
"HKDEU"	"Dauereinzellastschrift aussetzen"
"HKDEV"	"Dauereinzellastschriftänderungsvormerkungen anfordern"
"HKDMB"	"Bestand terminierter SEPA-Sammellastschriften anfordern"
"HKDME"	"Terminierte SEPA-Sammellastschrift einreichen"
"HKDML"	"Terminierte SEPA-Sammellastschrift löschen"
"HKDSA"	"Terminierte SEPA-Einzellastschrift ändern"
"HKDSB"	"Bestand SEPA-Lastschriftwiderspruch anfordern"
"HKDSE"	"Terminierte SEPA-Einzellastschrift einreichen"
"HKDSL"	"Terminierte SEPA-Einzellastschrift löschen"
"HKDSW"	"SEPA-Lastschriftwiderspruch einreichen"
"HKDTE"	"Eilüberweisung (Sammel)"
"HKDVK"	"Devisenkurse anfordern"
"HKECA"	"Kontoauszug camt anfordern"
"HKEIL"	"Eilüberweisung (Einzel)"
"HKEKA"	"Kontoauszug anfordern"
"HKEKP"	"Kontoauszug PDF anfordern"
"HKEND"	"Dialogende"
"HKESU"	"EU-Standardüberweisung"
"HKEUE"	"Euro-Eilüberweisung"
"HKFDA"	"Finanzdatenformat anfordern"
"HKFDB"	"Bearbeitungsstatus Finanzdatenformat anfordern"
"HKFDL"	"Finanzdatenformatliste anfordern"
"HKFDS"	"Finanzdatenformat senden"
"HKFGA"	"Festgeldanlage ändern"
"HKFGB"	"Festgeldbestand anfordern"
"HKFGK"	"Festgeldkonditionen anfordern"
"HKFGN"	"Festgeldneuanlage"
"HKFGP"	"Festgeldanlage prolongieren"
"HKFGW"	"Festgeldneuanlage widerrufen"
"HKFPO"	"Festpreisorder"
"HKFPW"	"Festgeldprolongation widerrufen"
"HKFRA"	"Freistellungsauftrag anlegen"
