MFI_ID	BIC	HOST	NAME	BOX	ADDRESS	POSTAL	CITY	CATEGORY	DOMICILE	HEAD_NAME	HEAD_ID	RESERVE	EXEMPT
DE06273	WELADE8LXXX	DE	Stadt- und Kreissparkasse Leipzig	10 08 40	Humboldtstraße 25	04105	Leipzig	Credit Institution				Yes	No
DE00557	BYLADEM1MSB	DE	Stadt- und Kreissparkasse Moosburg a.d.Isar		Stadtplatz 16	85368	Moosburg a.d.Isar	Credit Institution				Yes	No
DE00594	BYLADEM1ROT	DE	Stadt- und Kreissparkasse Rothenburg ob der Tauber	13 64	Kapellenplatz 7	91541	Rothenburg o.d. Tauber	Credit Institution				Yes	No
DE00846	WELADED1GEK	DE	Stadt-Sparkasse Gelsenkirchen	10 01 02	Sparkassenstraße 3	45879	Gelsenkirchen	Credit Institution				Yes	No
DE00857	WELADED1HAA	DE	Stadt-Sparkasse Haan (Rheinl.)	1664	Kaiserstr. 37	42781	Haan, Rheinl.	Credit Institution				Yes	No
DE00905	WELADED1LAF	DE	Stadt-Sparkasse Langenfeld (Rhld.)	1562	Solinger Straße 51-55	40764	Langenfeld, Rheinl.	Credit Institution				Yes	No
DE00974	SOLSDE33XXX	DE	Stadt-Sparkasse Solingen	100185	Kölner Str. 68-72	42651	Solingen	Credit Institution				Yes	No
DE00462	AUGSDE77XXX	DE	Stadtsparkasse Augsburg	10 00 75	Halderstr. 1-5	86150	Augsburg	Credit Institution				Yes	No
DE00783	WELADED1HON	DE	Stadtsparkasse Bad Honnef	1720	Hauptstr. 34	53604	Bad Honnef	Credit Institution				Yes	No
DE00784	WELADED1OEH	DE	Stadtsparkasse Bad Oeynhausen	10 12 51	Portastraße 8 - 14	32545	Bad Oeynhausen	Credit Institution				Yes	No
DE00697	NOLADE21PMT	DE	Stadtsparkasse Bad Pyrmont	1561	Brunnenstraße 2	31812	Bad Pyrmont	Credit Institution				Yes	No
DE00698	NOLADE21SAC	DE	Stadtsparkasse Bad Sachsa	1277	Poststr. 6-7	37441	Bad Sachsa	Credit Institution				Yes	No
DE00699	NOLADE21BAH	DE	Stadtsparkasse Barsinghausen		Deisterstraße 1a	30890	Barsinghausen	Credit Institution				Yes	No
DE00796	WELADED1BLO	DE	Stadtsparkasse Blomberg/Lippe	14 71	Rosenstraße 5	32825	Blomberg, Lippe	Credit Institution				Yes	No
DE00797	WELADED1BOH	DE	Stadtsparkasse Bocholt	22 63	Markt 8	46399	Bocholt	Credit Institution				Yes	No
DE00644	HELADEF1BOR	DE	Stadtsparkasse Borken (Hessen)	12 21	Europaplatz 1	34582	Borken (Hessen)	Credit Institution				Yes	No
DE00803	WELADED1BOT	DE	Stadtsparkasse Bottrop	101551	Pferdemarkt 8	46236	Bottrop	Credit Institution				Yes	No
DE00706	NOLADE21BUF	DE	Stadtsparkasse Burgdorf	10 05 64	Marktstr. 59	31303	Burgdorf, Kr. Hannover	Credit Institution				Yes	No
DE00711	BRLADE21CUX	DE	Stadtsparkasse Cuxhaven	660	Rohdestr. 6	27472	Cuxhaven	Credit Institution				Yes	No
DE00817	WELADED1DEL	DE	Stadtsparkasse Delbrück	14 61	Lange Str. 17	33129	Delbrück	Credit Institution				Yes	No
DE06199	NOLADE21DES	DE	Stadtsparkasse Dessau	1603	Poststr. 8	06844	Dessau, Anhalt	Credit Institution				Yes	No
DE00827	DUSSDEDDXXX	DE	Stadtsparkasse Düsseldorf	101030	Berliner Allee 33	40212	Düsseldorf	Credit Institution				Yes	No
DE00717	BRLADE21EMD	DE	Stadtsparkasse Emden	2252	Am Delft 2-3	26721	Emden	Credit Institution				Yes	No
DE00829	WELADED1EMR	DE	Stadtsparkasse Emmerich-Rees - Verbandssparkasse der Städte Emmerich und Rees -	10 08 62	Agnetenstraße 3	46446	Emmerich	Credit Institution				Yes	No
DE00835	SPESDE3EXXX	DE	Stadtsparkasse Essen	103722	III. Hagen 43	45127	Essen	Credit Institution				Yes	No
DE00649	HELADEF1FEL	DE	Stadtsparkasse Felsberg	1140	Steinweg 4	34587	Felsberg, Hessen	Credit Institution				Yes	No
DE00848	WELADED1GEV	DE	Stadtsparkasse Gevelsberg	23 20	Mittelstr. 2-4	58285	Gevelsberg	Credit Institution				Yes	No
DE00849	WELADED1GLA	DE	Stadtsparkasse Gladbeck	580	Friedrich-Ebert-Str. 2	45964	Gladbeck, Westf.	Credit Institution				Yes	No
DE00659	HELADEF1GRE	DE	Stadtsparkasse Grebenstein	1141	Marktstr. 30	34393	Grebenstein	Credit Institution				Yes	No
DE00861	WELADED1HAT	DE	Stadtsparkasse Haltern am See	10 02 52	Koeppstr. 2	45721	Haltern am See	Credit Institution				Yes	No
DE00723	NOLADE21HMS	DE	Stadtsparkasse Hameln		Osterstraße 25	31785	Hameln	Credit Institution				Yes	No
DE00871	WELADED1HER	DE	Stadtsparkasse Herdecke	15 53	Stiftsstraße 7 - 13	58313	Herdecke, Ruhr	Credit Institution				Yes	No
DE00875	WELADED1HIL	DE	Stadtsparkasse Hilchenbach	13 40	Markt 10 - 12	57271	Hilchenbach	Credit Institution				Yes	No
DE01025	MALADE51KLS	DE	Stadtsparkasse Kaiserslautern		Stiftsplatz 10	67655	Kaiserslautern	Credit Institution				Yes	No
