Nr.;BLZ;BIC;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;RAH-7;RAH-9;RAH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung
1992;59050101;SAKSDE55XXX;Sparkasse Saabrücken eG;Saarbrücken;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-sl2.s-fints-pt-sl.de/fints30;FinTS V3.0;09.02.2022
1993;59070070;DEUTDEDB595;Deutsche Bank Privat und Geschäftskunden;Saarbrücken;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1994;59070070;DEUTDEDB595;Deutsche Bank Privat und Geschäftskunden;Dillingen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1995;59070070;DEUTDEDB595;Deutsche Bank Privat und Geschäftskunden;Neunkirchen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1996;59070070;DEUTDEDB595;Deutsche Bank Privat und Geschäftskunden;Merzig;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1997;59070070;DEUTDEDB595;Deutsche Bank Privat und Geschäftskunden;Homburg;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1998;59070070;DEUTDEDB595;Deutsche Bank Privat und Geschäftskunden;St. Ingbert;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
1999;59070070;DEUTDEDB595;Deutsche Bank Privat und Geschäftskunden;Saarlouis;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
2000;59070070;DEUTDEDB595;Deutsche Bank Privat und Geschäftskunden;Völklingen;eigenes Rechenzentrum;BdB;;193.150.167.8;3.0;;;;;;;;;;ja;ja;;;;https://fints.deutsche-bank.de/;FinTS V3.0;19.09.2015
2001;59090900;GENODEF1P19;PSD Bank RheinNeckarSaar;Saarbrücken;Atruvia AG;BVR;;;;;;;;;;;;;;;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2002;59092000;GENODE51SB2;Vereinigte Volksbank eG Dillingen*Dudweiler*Sulzbach/Saar;Sulzbach, Saar;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2003;59190000;SABADE5SXXX;Bank 1 Saar;Saarbrücken;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2004;59251020;SALADE51WND;Kreissparkasse St. Wendel;St. Wendel;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-sl2.s-fints-pt-sl.de/fints30;FinTS V3.0;09.02.2022
2005;59252046;SALADE51NKS;Sparkasse Neunkirchen;Neunkirchen;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-sl2.s-fints-pt-sl.de/fints30;FinTS V3.0;09.02.2022
2006;59292400;#NV;Eppelborner Volksbank -alt-;Eppelborn;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2007;59320087;HYVEDEMM838;UniCredit Bank - HypoVereinsbank AG;Saarlouis;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2008;59350110;KRSADE55XXX;Kreissparkasse Saarlouis;Saarlouis;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-sl2.s-fints-pt-sl.de/fints30;FinTS V3.0;09.02.2022
2009;59351040;MERZDE55XXX;Sparkasse Merzig-Wadern;Merzig-Wadern;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-sl2.s-fints-pt-sl.de/fints30;FinTS V3.0;09.02.2022
2010;59393000;GENODE51LEB;LevoBank Vereinte VB Lebach Eppelborn;Lebach;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2011;59450010;SALADE51HOM;Kreissparkasse Saarpfalz;Saarpfalz;Finanz Informatik GmbH & Co. KG;DSGV;;;;;;;;;;;;;;;;;;https://banking-sl2.s-fints-pt-sl.de/fints30;FinTS V3.0;09.02.2022
2012;59491114;#NV;VR Bank Saarpfalz;Homburg, Saar;Atruvia AG;BVR;fints2.atruvia.de;;3.0;;;;;;;;ja;;ja;ja;;;;https://fints2.atruvia.de/cgi-bin/hbciservlet;FinTS V3.0;06.09.2023
2013;60010070;PBNKDEFFXXX;Postbank;Stuttgart;eigenes Rechenzentrum;BdB;;;;;;;;;;;;;;;;;;https://hbci.postbank.de/banking/hbci.do;FinTS V3.0;10.04.2015
2014;60020100;SCHWDESSXXX;Schwäbische Bank AG;Stuttgart;B+S Banksysteme AG;BdB;www.warburg-bank.de;188.21.13.34;3.0;;;ja;ja;;ja;;;ja;ja;ja;;;;https://www.warburg-bank.de/fints;FinTS V3.0;15.02.2019
2015;60020290;HYVEDEMM473;UniCredit Bank - HypoVereinsbank AG;Stuttgart;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2016;60020290;HYVEDEMM473;UniCredit Bank - HypoVereinsbank AG;Lindau (Bodensee);eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2017;60020290;HYVEDEMM473;UniCredit Bank - HypoVereinsbank AG;Lindenberg i. Allgäu;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2018;60020290;HYVEDEMM473;UniCredit Bank - HypoVereinsbank AG;Wangen im Allgäu;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2019;60020290;HYVEDEMM473;UniCredit Bank - HypoVereinsbank AG;Heilbronn, Neckar;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2020;60020290;HYVEDEMM473;UniCredit Bank - HypoVereinsbank AG;Fellbach, Württ;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
2021;60020290;HYVEDEMM473;UniCredit Bank - HypoVereinsbank AG;Friedrichshafen;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;ja;;;;ja;ja;;ja;ja;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;21.08.2015
