Nr.;BLZ;Institut;Ort;RZ;Organisation;HBCI-Zugang DNS;HBCI- Zugang     IP-Adresse;HBCI-Version;DDV;RDH-1;RDH-2;RDH-3;RDH-4;RDH-5;RDH-6;RDH-7;RDH-8;RDH-9;RDH-10;PIN/TAN-Zugang URL;Version;Datum letzte Änderung;;;;;
4560;85550000;Kreissparkasse Bautzen;Bautzen;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
4561;85550200;KSK Löbau-Zittau;Löbau-Zittau;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
4562;85564938;Raiffbk-VB Niesky-Weißwasser Weißwasser;Niesky;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
4563;85590000;Volksbank Bautzen;Bautzen, Sachs;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
4564;85590100;Volksbank Löbau-Zittau;Neugersdorf, Sachs;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
4565;85591000;Volksbank und Raiffeisenbank Görlitz;Görlitz, Neiße;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
4566;85591004;Volksbank Löbau-Zittau ehem VB u Raiffbk;Zittau;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
4567;85595500;Volksbank Westlausitz -alt-;Bischofswerda;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
4568;86010090;Deutsche Postbank AG;Leipzig;eigenes Rechenzentrum;VÖB;;;2.2;;;;;;;;;;;;https://hbci.postbank.de/banking/hbci.do;HBCI 2.2 Erweiterung PIN/TAN V1.01;04.07.2005;;;;;
4569;86010111;SEB AG;Leipzig;eigenes Rechenzentrum;BdB;;193.243.184.115;2.0.1;;ja;;;;;;;;;;;;19.09.2005;;;;;
4570;86020086;Bayerische Hypo- und Vereinsbank AG - HVB;Leipzig;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
4571;86020200;BHF-Bank AG;Leipzig;BV Zahlungssysteme GmbH;BdB;hbciserver.bankverlag.de;nicht unterstützt;4.0;;ja;;;;;;;;;;https://www.bv-activebanking.de/hbciTunnel/hbciTransfer.jsp;FinTS V4.0;24.02.2008;;;;;
4572;86040000;Commerzbank;Leipzig;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
4573;86040000;Commerzbank;Altenburg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
4574;86040000;Commerzbank;Borna ;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
4575;86040000;Commerzbank;Delitzsch;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
4576;86040000;Commerzbank;Bitterfeld;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
4577;86040000;Commerzbank;Döbeln;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
4578;86040000;Commerzbank;Torgau;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
4579;86050200;SPARKASSE MULDENTAL;MULDENTAL;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
4580;86050600;KSK Torgau-Oschatz;Torgau-Oschatz;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
4581;86055002;SPK DELITZSCH-EILENBURG;DELITZSCH-EILENBURG;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
4582;86055462;KREISSPARKASSE DÖBELN;DÖBELN;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
4583;86055592;Sparkasse Leipzig;Leipzig;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
4584;86065413;Raiffeisenbank Geithain;Geithain;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
4585;86065448;Volksbank und Raiffeisenbank Borna;Borna b Leipzig;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
4586;86065468;Volksbank Raiffeisenbank Döbeln;Döbeln;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
4587;86065483;Raiffeisenbank Grimma;Grimma;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
4588;86065548;Wurzener Bank (Raiffeisen-Volksbank) -alt-;Wurzen;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
4589;86069070;Raiffeisenbank Thorgau;Torgau;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
4590;86070000;Deutsche Bank AG;Leipzig;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4591;86070000;Deutsche Bank AG;Altenburg, Thür;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4592;86070000;Deutsche Bank AG;Aschersleben, Sachs-Anh;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4593;86070000;Deutsche Bank AG;Bernburg (Saale);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4594;86070000;Deutsche Bank AG;Bitterfeld;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4595;86070000;Deutsche Bank AG;Borna b Leipzig;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4596;86070000;Deutsche Bank AG;Dessau, Anh;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4597;86070000;Deutsche Bank AG;Grimma;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4598;86070000;Deutsche Bank AG;Halle (Saale);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4599;86070000;Deutsche Bank AG;Köthen (Anhalt);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4600;86070000;Deutsche Bank AG;Merseburg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4601;86070000;Deutsche Bank AG;Naumburg (Saale);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4602;86070000;Deutsche Bank AG;Sangerhausen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4603;86070000;Deutsche Bank AG;Torgau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4604;86070000;Deutsche Bank AG;Weißenfels, Saale;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4605;86070000;Deutsche Bank AG;Lutherstadt Wittenberg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4606;86070000;Deutsche Bank AG;Wurzen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4607;86070000;Deutsche Bank AG;Zeitz, Elster;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4608;86070000;Deutsche Bank AG;Delitzsch;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4609;86070000;Deutsche Bank AG;Döbeln;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4610;86070000;Deutsche Bank AG;Eilenburg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4611;86070000;Deutsche Bank AG;Hettstedt, Sachs-Anh;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4612;86070000;Deutsche Bank AG;Lutherstadt Eisleben;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4613;86070000;Deutsche Bank AG;Markkleeberg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4614;86070000;Deutsche Bank AG;Zschadraß;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4615;86070000;Deutsche Bank AG;Oschatz;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4616;86070000;Deutsche Bank AG;Quedlinburg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4617;86070000;Deutsche Bank AG;Schkeuditz;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4618;86070000;Deutsche Bank AG;Taucha b Leipzig;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4619;86070000;Deutsche Bank AG;Wolfen, Anh;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4620;86070024;Deutsche Bank Privat und Geschäftskunden AG;Altenburg, Thür;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4621;86070024;Deutsche Bank Privat und Geschäftskunden AG;Aschersleben, Sachs-Anh;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4622;86070024;Deutsche Bank Privat und Geschäftskunden AG;Bernburg (Saale);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4623;86070024;Deutsche Bank Privat und Geschäftskunden AG;Bitterfeld;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4624;86070024;Deutsche Bank Privat und Geschäftskunden AG;Borna b Leipzig;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4625;86070024;Deutsche Bank Privat und Geschäftskunden AG;Delitzsch;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4626;86070024;Deutsche Bank Privat und Geschäftskunden AG;Dessau, Anh;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4627;86070024;Deutsche Bank Privat und Geschäftskunden AG;Döbeln;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4628;86070024;Deutsche Bank Privat und Geschäftskunden AG;Eilenburg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4629;86070024;Deutsche Bank Privat und Geschäftskunden AG;Grimma;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4630;86070024;Deutsche Bank Privat und Geschäftskunden AG;Halle (Saale);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4631;86070024;Deutsche Bank Privat und Geschäftskunden AG;Hettstedt, Sachs-Anh;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4632;86070024;Deutsche Bank Privat und Geschäftskunden AG;Köthen (Anhalt);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4633;86070024;Deutsche Bank Privat und Geschäftskunden AG;Leipzig;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4634;86070024;Deutsche Bank Privat und Geschäftskunden AG;Lutherstadt Eisleben;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4635;86070024;Deutsche Bank Privat und Geschäftskunden AG;Lutherstadt Wittenberg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4636;86070024;Deutsche Bank Privat und Geschäftskunden AG;Markkleeberg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4637;86070024;Deutsche Bank Privat und Geschäftskunden AG;Merseburg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4638;86070024;Deutsche Bank Privat und Geschäftskunden AG;Zschadraß;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4639;86070024;Deutsche Bank Privat und Geschäftskunden AG;Naumburg (Saale);eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4640;86070024;Deutsche Bank Privat und Geschäftskunden AG;Oschatz;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4641;86070024;Deutsche Bank Privat und Geschäftskunden AG;Quedlinburg;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4642;86070024;Deutsche Bank Privat und Geschäftskunden AG;Sangerhausen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4643;86070024;Deutsche Bank Privat und Geschäftskunden AG;Schkeuditz;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4644;86070024;Deutsche Bank Privat und Geschäftskunden AG;Taucha b Leipzig;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4645;86070024;Deutsche Bank Privat und Geschäftskunden AG;Torgau;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4646;86070024;Deutsche Bank Privat und Geschäftskunden AG;Weißenfels, Saale;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4647;86070024;Deutsche Bank Privat und Geschäftskunden AG;Wolfen, Anh;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4648;86070024;Deutsche Bank Privat und Geschäftskunden AG;Wurzen;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4649;86070024;Deutsche Bank Privat und Geschäftskunden AG;Zeitz, Elster;eigenes Rechenzentrum;BdB;;193.150.167.7;2.0.1;;ja;;;;;;;;;;https://fints.deutsche-bank.de/;FinTS V3.0;16.01.2006;;;;;
4650;86080000;Dresdner Bank;Leipzig;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
4651;86080000;Dresdner Bank;Delitzsch;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
4652;86080000;Dresdner Bank;Altenburg;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
4653;86080000;Dresdner Bank;Borna ;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
4654;86080000;Dresdner Bank;Zeitz;eigenes Rechenzentrum;BdB;hbci.dresdner-bank.de;193.194.7.124;3.0;;ja;ja;;;ja;;;;;;https://hbci.dresdner-bank.de;FinTS V3.0;26.09.2008;;;;;
4655;86095484;Volks- und Raiffeisenbank Muldental;Grimma;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
4656;86095554;Volksbank Delitzsch;Delitzsch;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
4657;86095604;Volksbank Leipzig;Leipzig;FIDUCIA IT AG  ;BVR;hbci01.fiducia.de;;3.0;;ja;ja;ja;;ja;;;;;;https://hbci11.fiducia.de/cgi-bin/hbciservlet;FinTS V3.0;04.12.2006;;;;;
4658;87020086;Bayerische Hypo- und Vereinsbank AG - HVB;Chemnitz, Sachs;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
4659;87020086;Bayerische Hypo- und Vereinsbank AG - HVB;Freiberg, Sachs;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
4660;87020087;Bayerische Hypo- und Vereinsbank AG - HVB;Plauen, Vogtl;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
4661;87020088;Bayerische Hypo- und Vereinsbank AG - HVB;Zwickau;eigenes Rechenzentrum;BdB;hbci.hypovereinsbank.de;;3.0;;ja;;ja;;;;;;;;https://hbci-01.hypovereinsbank.de/bank/hbci;FinTS V3.0;03.08.2005;;;;;
4662;87040000;Commerzbank;Chemnitz;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
4663;87040000;Commerzbank;Freiberg;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
4664;87040000;Commerzbank;Plauen;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
4665;87040000;Commerzbank;Zwickau;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
4666;87040000;Commerzbank;Annaberg-Buchholz;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
4667;87040000;Commerzbank;Glauchau;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
4668;87040000;Commerzbank;Mittweida;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
4669;87040000;Commerzbank;Weischlitz;eigenes Rechenzentrum;BdB;hbci.commerzbank.de;;3.0;;ja;;ja;;ja;;;;;;;;;;;;;
4670;87050000;Sparkasse Chemnitz;Chemnitz;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
4671;87051000;Kreissparkasse Mittweida;Mittweida;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
4672;87052000;SPK. FREIBERG/BRAND-E.;FREIBERG;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
4673;87053000;Spk.Mittleres Erzgebirge;Deutschneudorf;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
4674;87054000;KREISSPARKASSE STOLLBERG;STOLLBERG;Finanz Informatik GmbH & Co. KG (Regionalsystem FinanzIT);DSGV;hbci.finanzit.com;62.181.134.126;2.2;ja;;;;;;;;;;;https://hbci.finanzit.com/cgi/hbcipt.cgi;HBCI 2.2 Erweiterung PIN/TAN V1.01;;;;;;
